column_id,table_id,column_name,data_type
b4bab8c9-8429-4f67-90ff-ff03997af768,52385772-866b-4bfa-af67-94565bdc83a2,id,gen_random_uuid()
8b36ad87-ccba-4939-9bea-2176bb5a2f62,52385772-866b-4bfa-af67-94565bdc83a2,name,text
2c8a3982-a3c6-4676-a618-e1acc5a805d9,52385772-866b-4bfa-af67-94565bdc83a2,phno,number
6551d968-b4f9-46de-9834-95c0ca476d9b,52385772-866b-4bfa-af67-94565bdc83a2,created_at,date
82009500-50c4-4ac8-9413-622d2e894961,3e7405af-0f69-448e-86fd-2be33c49ef8d,id,gen_random_uuid()
59651653-7da8-46ab-9100-079a3042736f,3e7405af-0f69-448e-86fd-2be33c49ef8d,name,text
6d36628b-781d-431d-808b-ae07f51162a3,3e7405af-0f69-448e-86fd-2be33c49ef8d,phone,number
344a2160-ee7a-49f0-8f4e-3d32f8b521ac,3e7405af-0f69-448e-86fd-2be33c49ef8d,date,now_date()
ed12cabd-3ee3-474d-baa7-27b754f2735e,3e7405af-0f69-448e-86fd-2be33c49ef8d,time,now_time()
8fedb01f-33c0-44ee-9f9f-0b9447f43f89,ad95c5cd-2e6d-474d-a9f8-4069973b6dc5,id,gen_random_uuid(),left
b0a754ef-8fa3-4152-aa85-0843e5052ddd,ad95c5cd-2e6d-474d-a9f8-4069973b6dc5,name,text,left
5696a1bb-54ea-4bbd-ad54-f0217cf0b499,ad95c5cd-2e6d-474d-a9f8-4069973b6dc5,member_id,text,left
de47fb48-6fc8-48b4-a0c9-564672544db9,ad95c5cd-2e6d-474d-a9f8-4069973b6dc5,join_date,now_date(),left
8f7e19f7-723f-4a3c-8177-b67464eeeae1,23e724fe-3c2f-4fca-afcc-74a6c4339eba,id,number,left
de5a3eb0-492c-4cbb-ad4c-53a36b2cfff7,23e724fe-3c2f-4fca-afcc-74a6c4339eba,first_name,text,left
7af5de70-c3b7-4b83-90ca-9c7eb9867812,23e724fe-3c2f-4fca-afcc-74a6c4339eba,last_name,text,left
38a9f50c-6425-4435-ae69-721b60c58130,23e724fe-3c2f-4fca-afcc-74a6c4339eba,email,text,left
fcf6df44-cbc3-4b85-8ab4-ea7e59fc9b0c,23e724fe-3c2f-4fca-afcc-74a6c4339eba,username,text,left
9fb4adc3-73b7-48e0-b35e-68defb4ffaeb,23e724fe-3c2f-4fca-afcc-74a6c4339eba,phone_number,number,left
422e0fa2-b125-4994-84d6-21df9d53dd74,23e724fe-3c2f-4fca-afcc-74a6c4339eba,address,text,left
ded7f137-08ee-4b03-84c8-2658c84aaa84,23e724fe-3c2f-4fca-afcc-74a6c4339eba,city,text,left
ab64da28-447f-464e-beaf-cd5bbabaa535,23e724fe-3c2f-4fca-afcc-74a6c4339eba,country,text,left
287486f3-523f-4623-ab95-9626ab7978ed,23e724fe-3c2f-4fca-afcc-74a6c4339eba,dob,date,left
7665fcd3-6011-4ec5-ba77-f3f280e7175c,23e724fe-3c2f-4fca-afcc-74a6c4339eba,created_at,date,left
